Slice,Count,Total Area,Average Size,%Area,Perim.,Major,Minor,Angle,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,459,64935,141.47059,15.85327,41.81645,12.55617,6.76569,70.97922,14.41523,319.87582,329.63181,91.31888,8.24796
2,462,61977,134.14935,15.13110,39.70532,12.38437,6.70590,72.46726,14.17336,320.93939,334.70563,91.77543,8.04792
3,455,64041,140.74945,15.63501,40.54458,12.41201,6.75768,68.51201,14.11305,317.76044,325.09890,89.81424,8.16795
4,438,61221,139.77397,14.94653,41.15164,12.45386,6.76318,70.99498,14.26695,329.35845,316.12329,94.61053,8.09686
5,460,63895,138.90217,15.59937,40.56902,12.21383,6.67157,71.46328,14.06709,320.80000,319.87609,95.83224,8.05762
6,459,66506,144.89325,16.23682,41.17929,12.26370,6.80001,69.44572,13.98764,320.77342,324.27887,90.59243,8.14702
7,447,64850,145.07830,15.83252,40.41564,12.16744,6.70271,72.77472,13.88956,332.55481,318.54362,91.32295,8.02408
8,424,68336,161.16981,16.68359,43.67060,12.94488,6.93372,71.25125,14.82420,334.28538,316.79953,91.52680,8.35344
9,441,71297,161.67120,17.40649,42.72839,12.48472,6.76597,69.63269,14.34452,333.85261,329.29705,94.27121,8.15372
10,429,69413,161.80186,16.94653,42.75494,12.45017,6.66689,72.33021,14.26216,338.64336,322.37529,92.84316,7.98645
11,437,72572,166.06865,17.71777,40.93778,12.18127,6.62233,70.35926,14.00490,339.40046,334.90847,94.31029,7.88230
12,425,75087,176.67529,18.33179,42.37941,12.79902,6.76646,73.88589,14.62598,332.79765,332.07059,91.54762,8.06640
13,429,77743,181.21911,18.98022,42.63919,12.32560,6.52307,70.61185,14.13738,335.23310,326.45921,92.81143,7.89586
14,421,78100,185.51069,19.06738,41.60258,12.46995,6.59446,71.77677,14.32873,333.56770,323.74109,93.90392,8.04553
15,441,80748,183.10204,19.71387,40.60848,11.92322,6.50145,70.51548,13.70524,345.19501,329.49660,91.67462,7.83040
16,415,83077,200.18554,20.28247,42.95550,12.29971,6.69200,70.63051,14.28083,337.26988,320.90602,92.28630,8.14384
17,422,86767,205.60900,21.18335,42.50236,12.47605,6.74260,69.01422,14.45008,328.84360,324.27251,92.70120,8.17229
18,392,89759,228.97704,21.91382,46.50752,13.24970,6.98231,72.34300,15.36897,322.72194,319.90561,92.03579,8.56848
19,389,95077,244.41388,23.21216,46.85953,13.79926,7.03868,74.74749,15.88802,321.84062,323.52442,90.92516,8.63536
20,391,96486,246.76726,23.55615,48.00546,13.71798,7.03110,70.51557,15.96154,319.56010,314.29156,90.05525,8.68858
21,381,102164,268.14698,24.94238,48.70061,13.67235,7.18900,67.99221,15.89488,310.99475,316.96850,90.16088,8.80517
22,353,106438,301.52408,25.98584,51.50762,14.27552,7.52486,74.88017,16.69176,317.71955,318.98584,92.50570,9.24432
23,337,110200,327.00297,26.90430,54.21997,14.84639,7.81350,73.35398,17.35046,307.07715,318.01187,95.19001,9.64987
24,352,106106,301.43750,25.90479,51.87209,14.34705,7.60009,68.90978,16.66457,300.50568,319.21591,94.62027,9.29596
25,322,108909,338.22671,26.58911,56.53730,15.10195,7.72339,66.13585,17.88757,309.70186,315.42236,91.59420,9.64296
26,321,111685,347.92835,27.26685,57.31982,14.95402,7.78347,64.88353,17.56314,316.73209,318.13084,92.43304,9.75459
27,314,121693,387.55732,29.71021,59.88033,15.60866,7.94470,68.73081,18.71897,324.62102,325.27707,91.53951,10.07866
