Sample,Slice,Threshold,Elements,Time(s),K(m2),Delta P(psi),Qt,K_eq(m2)
5,0150,1,34866,8.38759,1e-15,6894.76,9.037702791e-09,1.31343e-15
5,0150,2,32432,7.85512,1e-15,6894.76,7.301861217e-09,1.06116e-15
5,0150,3,34182,8.12133,1e-15,6894.76,8.792731884e-09,1.27783e-15
5,0150,4,34370,8.33716,1e-15,6894.76,1.352413328e-08,1.96543e-15
5,0151,1,34896,8.23104,1e-15,6894.76,9.03565133e-09,1.31313e-15
5,0151,2,32484,7.64443,1e-15,6894.76,7.374464632e-09,1.07171e-15
5,0151,3,34118,7.81638,1e-15,6894.76,8.738673864e-09,1.26997e-15
5,0151,4,34412,8.22411,1e-15,6894.76,1.33153696e-08,1.93509e-15
5,0152,1,34548,8.62715,1e-15,6894.76,8.645681729e-09,1.25646e-15
5,0152,2,32564,7.8576,1e-15,6894.76,7.376452992e-09,1.072e-15
5,0152,3,34248,8.43775,1e-15,6894.76,8.819951029e-09,1.28178e-15
5,0152,4,34684,8.72874,1e-15,6894.76,1.433456885e-08,2.08321e-15
5,0153,1,34304,8.32204,1e-15,6894.76,8.490850222e-09,1.23396e-15
5,0153,2,32554,8.04194,1e-15,6894.76,7.357132189e-09,1.0692e-15
5,0153,3,34180,8.07689,1e-15,6894.76,9.105794089e-09,1.32332e-15
5,0153,4,34780,8.04549,1e-15,6894.76,1.471459961e-08,2.13844e-15
5,0154,1,33982,8.06025,1e-15,6894.76,8.218635601e-09,1.1944e-15
5,0154,2,32416,7.88729,1e-15,6894.76,7.352281413e-09,1.06849e-15
5,0154,3,34396,8.16379,1e-15,6894.76,9.097788439e-09,1.32216e-15
5,0154,4,34438,8.78317,1e-15,6894.76,1.422251812e-08,2.06693e-15
5,0155,1,33572,7.93102,1e-15,6894.76,7.924310426e-09,1.15162e-15
5,0155,2,32496,8.11671,1e-15,6894.76,7.363156879e-09,1.07007e-15
5,0155,3,34458,8.88407,1e-15,6894.76,9.260098516e-09,1.34575e-15
5,0155,4,34438,8.23847,1e-15,6894.76,1.46126767e-08,2.12363e-15
5,0156,1,33308,7.99104,1e-15,6894.76,7.745968096e-09,1.1257e-15
5,0156,2,32546,8.02889,1e-15,6894.76,7.396450951e-09,1.07491e-15
5,0156,3,34536,8.62161,1e-15,6894.76,9.299779605e-09,1.35152e-15
5,0156,4,34648,8.77363,1e-15,6894.76,1.390894945e-08,2.02136e-15
5,0157,1,32908,8.09715,1e-15,6894.76,7.607124122e-09,1.10553e-15
