Sample,Slice,Threshold,Elements,Time(s),K(m2),Delta P(psi),Qt,K_eq(m2)
8,0150,1,32308,8.32725,1e-15,6894.76,9.794631628e-09,1.42343e-15
8,0150,2,32970,8.4123,1e-15,6894.76,1.092629363e-08,1.58789e-15
8,0150,3,33228,8.13847,1e-15,6894.76,4.177969532e-07,6.07175e-14
8,0150,4,33228,0,0,0,0,0
8,0151,1,32144,7.86247,1e-15,6894.76,9.648015724e-09,1.40212e-15
8,0151,2,32788,8.09191,1e-15,6894.76,1.097680124e-08,1.59523e-15
8,0151,3,33440,8.20727,1e-15,6894.76,4.583682943e-07,6.66136e-14
8,0151,4,33004,8.91799,1e-15,6894.76,5.450988505e-07,7.9218e-14
8,0152,1,32174,7.80713,1e-15,6894.76,9.307951531e-09,1.3527e-15
8,0152,2,32838,7.72073,1e-15,6894.76,1.074661043e-08,1.56178e-15
8,0152,3,33208,9.02039,1e-15,6894.76,4.529486405e-07,6.5826e-14
8,0152,4,33072,8.32565,1e-15,6894.76,5.724610134e-07,8.31945e-14
8,0153,1,32294,7.59578,1e-15,6894.76,9.278234707e-09,1.34839e-15
8,0153,2,32294,0,0,0,0,0
8,0153,3,33198,8.34169,1e-15,6894.76,4.451207329e-07,6.46884e-14
8,0153,4,33128,8.14857,1e-15,6894.76,5.240766568e-07,7.61629e-14
8,0154,1,32214,8.44809,1e-15,6894.76,9.192344263e-09,1.3359e-15
8,0154,2,32784,8.07497,1e-15,6894.76,1.109482843e-08,1.61239e-15
8,0154,3,33190,8.04125,1e-15,6894.76,4.417992087e-07,6.42057e-14
8,0154,4,33276,8.80403,1e-15,6894.76,5.223148727e-07,7.59068e-14
8,0155,1,32144,7.53323,1e-15,6894.76,9.234474088e-09,1.34203e-15
8,0155,2,32722,7.47522,1e-15,6894.76,1.123858572e-08,1.63328e-15
8,0155,3,33394,8.04725,1e-15,6894.76,4.296840596e-07,6.2445e-14
8,0155,4,33354,8.48627,1e-15,6894.76,5.424399911e-07,7.88316e-14
8,0156,1,32088,7.62141,1e-15,6894.76,9.285662592e-09,1.34946e-15
8,0156,2,32840,8.37391,1e-15,6894.76,1.113164946e-08,1.61774e-15
8,0156,3,33488,8.61597,1e-15,6894.76,4.2993095e-07,6.24809e-14
